Project Code,InternalId,Customer Name,Billing Budget,Costing Budget
SB21982,8763,"Kia Inspiration Day, ",25313041,17335927
SB21983,9342,TVS Srichakra Eurogrip No Parking board,27520,24150
SB21984,8764,NatWest Signature Borad Campaign,32750,25000
SB21985,8765,Havas Apparelre Sources - ASW 2024,150000,134018
SB21986,8766,Cognizant TD Bank Client Visit,269236,220580
SB21987,9343,TVS Srichakra RRC/MMC/CPC Activity,31390,27717
SB21988,8767,Cognzinat Cr3own client Visit ,819005,639222
SB21989,8768,BP Townhall,628998.66,296318.33
SB21990,8769,Intel Altera Innovation Day,4963500,4592717.42
SB21991,8770,Intel  ConnectiON 2024 - Phase 1 ,9930859.96,4748000
SB21993,8771,"Brookfield Properties Gallery Set-up,",520190,238574
SB21995,8772,Ikea - Durga Utsav Event,3034350,1777483.89
SB21996,8773,Tech Data VEGAS Fest 2024,402500,251945
SB21997,8774,Redington CIO KLUB 2024,300840,213700
SB21998,8775,Novo Development All Leaders Meet 2024,1995730.62,1190729
SB21999,8776,Nikon booth set-up,3666447,2943714.5
SB22000,8777,stall in Didac India Expo,53120,34484.75
SB22001,8778, Intel Altera IMC Meeting ,825000,348030.48
SB22002,8779, IKEA  - Influencer Meet,2245584,1648897.5
SB22003,8780,Siemens - EHS Stall at CII,304464,248537
SB22004,8781,NetApp Ahmedabad,181887.5,88730
SB22005,8782,"Schneider Retailers Meet, ",3302404,2438223
SB22007,9685,Linkedin Creator’s Event,72600,30091
SB22008,8783,Amazon Big Bets Paper Inserts,1570800,1200000
SB22009,8784,RNTBCI Team Outing 2024,166100,121265
SB22010,8785,Veeva Systems Summit 2023,3465250,2761437.83
SB22012,8787,NetApp Sify Corp,876090.86,642558.61
SB22013,8788,Amazon Box Installation,1528120,929109
SB22015,8789,Siemens Energy_ Crystal Memento & Jute Bag,626789,359650
SB22016,8790,Hindustan Lab Day with Lakme Sunexpert Event ,774974,515516.85
SB22017,8791,HUL - FinAce Season 8 Finale Event,693500,306599.55
SB22018,8792,Towards stock footage,112725,84543.75
SB22019,8793,Hitachi ABM – Q3 tech workshops – multiple cities ,1245000,952500
SB22020,8794,Mahindra LMM,71500,24000
SB22021,8795,Danfoss IFAT Expo,511164,384219
SB22022,9344,TVS Srichakra Easel Stand for Shiprocket ,10750,10000
SB22023,8796,VISTA 5 YEARS FOUNDATION DAY ,2297922,1579546
SB22024,8797,Amazone Smart Home Gym Banner,30536,16268
SB22025,8798,"Siemens Townhall at Transformer Factory, ",471436.95,370785
SB22026,8799,"Siemens Advanta D- Manager Conclave at Pune,Gurgaon,Chennai & Bangalore",3392565.5,2706652.34
SB22027,8800,HUL Kedar's Farewell + HR All Stars 2024 ,1596210,1280587
SB22028,8801,LSIP Diwali Party,3366144,2462445.37
SB22029,8802,Cognizant - Loowis Client Visit,411290,313140
SB22030,8803,Cognizant Novartis Client Visit ,2511414.4,2020188.04
SB22031,8804,HPE Storage TBM Tele Lead generation Program ,5884010,4914843
SB22034,8805,HPE Sales Enablement with Wipro,4071097,3179889.65
SB22035,8806,Siemens -#OnTheMOon (5 cities),92858.5,34250
SB22036,9360,TVS Srichakra Backdrop setup,38484,23016
SB22037,9345,TVS Srichakra Eurogrip Store Launch ,111546,94500
SB22038,9686,AiSensy event by RV Global,2315786,1496394
SB22039,9346,TVS Srichakra for Shiprocket Recharge,32250,30300
SB22040,8807,NXP CEO Townhall,1976243,1481491
SB22041,8808,HUL - LFW Delhi x TRESemme Stall,3973402,3147323.03
SB22042,8809,Accenture Townhall ,240889,140000
SB22043,8810,Google YT Shopping accelerator ,42795151,26647633.96
SB22044,8811,Google YT Creator Collective with Lakme,2675778,639259
SB22045,8812,Adobe Elite Circle Mumbai & Bangalore,3280032,3181461
SB22046,8813,HPE CIC Visit arrangements,348662,252000
SB22047,8814,IGC 2024 - Taj Palace Delhi,4426556.53,2499318.56
SB22048,8815,OnePlus OEF in Bangkok,6225923,4696502.45
SB22049,8816,Virtual Event Production for Tata Ethics Case Study Competition 2024,256360,192270
SB22050,8817,Amazon Devices OS Townhall,1359963,1144753
SB22051,8818,Hyderabad Developer Workshop ,18645,7250
SB22052,8819,Siemens In Collabration with Snap Logic Event on 15th October,103831.4,50690
SB22053,8820,Siemens Ltd,76252.58,24485
SB22054,8821,Microsoft Ai Mixer 2024 ,3111324,2625760.4
SB22055,8822,SAP Innovation Day,3616045.4,2291320.49
SB22056,8823,Panasonic Broadcast India ,1804963,1573003.03
SB22057,8824,VST Diwali Family Day,1926650,1416948.76
SB22058,8825,TRESemme Lamellar Launch,3734337,2327023.83
SB22059,8826,Aditya Birla Sunlife Insurance Agency Meet 2024,1036409,999219
SB22060,8827,Novo Nordisk Apac Townhall,940337.2,511314
SB22061,8828,OnePlus HUFT Donation Boxes ,131841,80700
SB22062,8829,Siemens Switchboard 50 Years Celebration,1646855.78,1193731.47
SB22063,8830,Disney Hotstar - EPL Screening,694788.5,553329
SB22064,8831,IKEA - Societies Voucher Distribution,670367,453062
SB22065,8832,Blue Grass - Family Day,1486833,134800
SB22066,8833,Edward Jones Client Visit,221914,173650
SB22067,8834,Hartford Client Visit ,619239.5,498889.32
SB22068,8835,Expo Booth Nvidia AI Summit,884349,9617
SB22069,8836,HUL - October Events 2024 ,3679065.08,2395463.31
SB22070,8837,Redington NetApp event with Velocis,664855.5,462022.2
SB22072,8839,"NVIDIA AI Summit India at Jio World Center, Mumbai",742134.4,220432.8
SB22073,8840,"Sucess Gala  at Grand Sheraton, Chennai",1005156,688588.44
SB22074,9347,TVS Sub Dealer Meet At Ghaziabad,191232,163480
SB22075,8841,Siemens GBS APS Townhall,541683,384816
SB22076,8842,Kotak Townhall with the CEO,842319.8,673976
SB22077,9687,SAFETY CONCLAVE 2024,822332,630449.43
SB22078,8843,COGNIZANT Blackstone visit - Hyderabad H04 ,632808,427785
SB22079,8844,Cognizant Pega Symposia 2024 Event,2145113.96,1730469.11
SB22080,8845,Brookfield Properties Diwali Celebration  @ 5 locations,10520500,8260156
SB22081,8846,HUL -  LAKME x Nykaaland,2500730,1307870.17
SB22082,8847,NXP German Delegate event 2024,3106091,2124469.28
SB22083,8848,SAP Come Alive,321915,175445
SB22084,8849, Lotus Car Display @ 4 seasons,174900,94383
SB22085,8850,Amazone Transcend,245394.6,171652
SB22086,8851,Cogizant BAT Client visit ,640783,416540
SB22087,8852,Dell IE Multicity events ,14100000,11695633.17
SB22088,8853,Dell Qualcomm Launch,6639050,5049339.86
SB22089,8854,Dell IE Multicity events ,21900000,17069132.2
SB22090,8855,Vivo X200 immersion and Launch event,25528081,19312782.31
SB22091,8856,Booth Management at NVIDIA AI Summit,540171.72,411227.9
SB22092,8857,Cloudodyssey Diwali Gifting,361900,273000
SB22093,8858,Accenture AQA Education_Offsite,70422,55320
SB22094,8859,HPE Discover Booth Activation,498305,373728.75
SB22095,8860,Adobe ALM booth set up,300000,159202
SB22096,8861,DBS India Townhall Q4,737748,533601
SB22097,8862,Siemens Transform Innovation Day 2024,16500000,13938514.91
SB22098,8863,SAP Statutory Board Meeting,9393104.58,5535285.5
SB22099,8864,"Greenlam Design Nxt, Prague, Czech Republic,",2399999,1995505.89
SB22100,8865,Amazone  GIF event,121594,82500
SB22101,8866,Meta x Lakme Rouge Bloom at Meta,894242,709568
SB22102,8867,RWA Activity - Prestige St. Johnswood,107568,77104
SB22103,8868,PhonePe Diwali Booth - Pune,331771.68,190000
SB22104,9348,TVS Srichakra for Kari Motors,3010,2500
SB22105,8869, SAP Golf Clinic for Customers,3677740,2784912.61
SB22106,9349,RRC & MMC FOR PAN IND SEP24,31847,29159
SB22107,9688,Graphifiers Clean India Expo,1977366.7,1593037.65
SB22108,8870,DBS Bank Conference - Meet & Greet,364430,320458.41
SB22109,8871,DBS Bank - Filming Podcast ,98450,55922
SB22110,8872,DBS Dinner & Dance Event,3139842,2772257.97
SB22111,8873,Red Hat Govt / PSU Event– Re invent the Future- Tech Talks,2824355.95,1525725.24
SB22112,8874,THOUGHTWORKS X-Interview Shoot,275000,200000
SB22113,8875,Panasonic office brandings,347099,312086.06
SB22114,8876,VFS Global Dinner Event at the Hotel,4717462.5,3690934.38
SB22115,9570,Orient Electric Dealer Meet ,10000000,7379318
SB22117,8878,Towards Japan EBC eDM & RSVP,15000,11250
SB22118,8879,"SAP Grand Prix Jute Bags, Trophies",554777.5,329108
SB22119,8880,Siemens Mobility Townhall 2024,335891.48,208845.39
SB22120,8881,Dell Multicity events,24200000,17317735
SB22121,8882,HUL - B&W Global Visit,7293905,2974284.49
SB22122,8883,HUL - R&D Global Visit ,305986,121175
SB22123,8884,IKEA - Nov & Dec Activity,2474175,1399263
SB22124,8885,Winner & Partner Trophies for INDUS Conclave & SAP ACE Awards,2270075,2005600
SB22125,8886,Thoughtworks - Xconf 2024,2550110,1806668.36
SB22126,8887,HUL Women in STEM 2024 ,3100000,968947.97
SB22127,9689,India ELT Customer Roadshow,2928934.14,2100423.87
SB22128,8888,DBS India Singapore Connect Envelope printing,179025,7158
SB22129,8889,DBS Tech Roadshow,499917,280000
SB22130,8890,OnePlus Jam Night,88485,38202
SB22131,8891,Microsoft Manager's day at Jodhpur,9678132,8439053.06
SB22132,8892,My TVS Showroom Inauguration,202950,157410
SB22133,9690,TVS CERTIFIED Sign Board,99000,73926
SB22134,8893,Haleon Office Inauguration - Phase 2,228066.3,168403
SB22135,9350,TVS Eurogrip stall in Krishithon,1344395,971729.48
SB22136,9691,GOC Infinity 2024,13728189.2,10141323.45
SB22137,8894,HUL Lux - Meet & Greet ,1400000,798042.45
SB22138,8895,STT CIO CLUB Giveway ,203500,185000
SB22139,8896,HPE QBR 2024,4495685,4246057.6
SB22140,8897,Amazon - Leadership Offsite,730920.45,554945.9
SB22141,8898,Cognizant Nationwide Client Visit,734758.2,638479.99
SB22142,9692,ABG 15th Mission Happiness Leaders Meet 2024,903788,485179
SB22143,8899,Cognizant Beyond Boundaries Event ,31647,27506
SB22144,8900,Sap Innovation Days & Invent Finale,468237,194844
SB22145,8901,"India Fastener Show, 22-24 Nov 2024, PIEMC,",367000,285000
SB22146,8902,Cognizant India Team Connect,44440,40400
SB22147,8903,INTEL  Global AI Conclave CNBC,800000,529210.82
SB22148,8904,Accenture Natwest Event,183700,101152
SB22149,8905,HPE Secure AI-Ready Data Centers,1592250,1282475
SB22150,8906,Accenture Marriott Virtual Visit Broadcast,213400,96737
SB22151,8907,NatWest Video Shoot,72800,52000
SB22152,8908,Now Comms Asia of materials / resources ,111550,36000
SB22153,9351,TVS Eurogrip Store Launch @ Patna,39936.25,27000
SB22154,8909,Mahindra eSUV Launch Event,44617630.61,29521506.25
SB22155,8910,BYD Anniversary Celebration 20204,122823,86075.36
SB22156,8911,STT Pune Ai Lab Branding ,867267,20000
SB22157,8912,Talk in Graph Talk in Delhi ,1593752.8,808939.75
SB22158,9571,"Spark Minda Auto Expo 2025,",12761382,7821661
SB22159,8913,"VinFast Auto Expo 2025,",50990000,21238770
SB22160,9693,CIO ASSOCIATION,1808620,1527926.43
SB22161,8914,HUL - LAKME x MYNTRA,1500000,629985.75
SB22162,8915,Sify Zscaler Customer Event.,482132,98750
SB22163,8916,Accenture Mondelez Client Visit,80300,39008.86
SB22164,8917,Metal Chest Badge,47500,36500
SB22166,8918,DBS Bank CBG Townhall,96250,44385.8
SB22167,8919,Glaxo Haleon Branded Merchandise,675073.1,247495
SB22168,8920,Cognizant Nationwide Client Visit,396671,291324
SB22169,9694,Industry Participation : Digital Bharat Summit ,1259716.5,886060
SB22170,8921,Accenture Leadership Accelerator Program,2671544.5,1765585.95
SB22171,8922,Sahamati Samvaad 2024,5047660,3904061
SB22172,8923,Siemens _Channel Partner Certificates and Trophy ,330087.35,226040
SB22174,8924,Cognizant Writing Board Setup ,111100,100475
SB22175,8925,Hul B&W Workshop 2024,1105068,422896
SB22176,9572,Godrej agrovet booth at PepsiCo Expo 2024,900794,399611
SB22177,8926,Amazon INOPS P - XTraordinaire 2024,1520552,1044213
SB22178,8927,HUL - Capital Markets Day 2024,32852267,17885745.08
SB22179,9696,Blue Star India Food Forum,130823,101442.61
SB22180,8928,PhonePe booth BIC Indiranagar,20844,16079
SB22181,8929,STT GE Colocation ,353270.5,239742
SB22182,8930,Danfoss Data Center Stall 2024,53406,37000
SB22183,8931,Towards Idea Café Roundtable,1500000,1500000
SB22184,8932,Towards Webinar Promotions & Registrations,547625,410718.75
SB22185,9697,LTF Raise'24,12516692.82,7972323.33
SB22186,8933,"Hero IBU Meet at  JW Marriott, Vagator, Goa on 29th November - 1st December",3779727,3585364.3
SB22187,8934,Siemens Inno Rail Exbhition ,1840250,1288905
SB22188,8935,Metro Activation for Meta ,5887750,5004586
SB22189,8936,Amway NPF 3.0,6526623,5216147.8
SB22190,9573,Season of Smiles,3786475,2909000
SB22191,9698,Honda Amaze car launch,7905506,5262592.89
SB22192,9699," Stall in Cosmoprof India 2024 at Jasmine Hall 1, Jio World Convention Centre",259600,216230.34
SB22193,8937,TS Rajam Awards,131450,87415
SB22194,8938,Hul F&R Booth at India Food Forum,800000,693343.17
SB22195,8939,SAP Come Alive,302049,90000
SB22196,8940,Hilti Annual Kickoff 2025 ,18964880,13171800
SB22197,8941,Citi Bank - Digital Leadership Summit,2271196.74,1461602.73
SB22198,8942,GitHub Universe Recap ,617700,483613
SB22199,9700,Gulf Air Dealer Meet,225630,112382
SB22200,8943,amazon superstars event ,649880,450500
SB22201,9352,TVS Srichakra  RRC/MMC/CPC Activity ,144471.4,128001.26
SB22202,8944,Intel CS Day outing,147554.24,95630
SB22203,9701,stall International Indo Africa B2B trade show,600929,521706
SB22204,8945,Kia Syros Content making ,5600000,2892235.65
SB22205,8946,amazon Sambhav Collateral Decor,720339,332364
SB22206,8947,EPS Leadership meeting Bhubaneswar,1050185.4,954714.4
SB22207,8948,IRIS Biz by YES BANK,1549175,1262079.46
SB22208,8949,"Google GCS @ Google office,",1303397,419689
SB22209,8950,Cognizant Nationwide Client Visit,168300,89500
SB22210,8951,Intel  Laptop storage space for Q1 FY 2025,414964.73,311223.5475
SB22211,8952,Uniops GSA Awards,1934874,1647831
SB22212,8953,Hul B&W Global Investors Meet,15123187,9911747.13
SB22213,9353,Tvs Shiprocket recharge-Dec 2024,21500,20200
SB22214,8954,Google cloud family day,1186119,759825
SB22215,8955,First Basis Rupee Money Conference,1320000,882392
SB22216,8956,SAP Signavio Webinar,715000,650000
SB22217,8957,Renault Step Up 2024,235294.5,177136
SB22218,9574,Super Star Product Launch,2319150,1999640
SB22219,9702,Pinnacle CXO Dialogue Event,7700,3500
SB22220,8958,Amazone Year End Party,107800,73679
SB22221,8959,AstraZeneca Team Outing,139700,50889
SB22222,8960,Towards Demand Generation Campaign,1270000,1200000
SB22223,8961,Towards Webinar Registrations,507000,380250
SB22224,8962,SAP Come Alive ,1486322.2,970354
SB22225,9575,Loreal Kios Setup,264000,178586
SB22226,9354,Tvs Dealer Meet,107296.29,121385.5
SB22227,8963,SAP Annual Day Hyderabad 2024,2663421.28,2298425
SB22228,9576,CIO Association Family Day,1270843,930616
SB22229,8964,amazon- tech event,116820,81200
SB22230,8965,Cognizant Nationwide Client Visit ,471790,160000
SB22231,8966,GitHub India Icons,983679,739026
SB22232,8967,Amazon TGIF,118360,83027
SB22233,9703,Zomato Sustainability and Policy Conference,1748353,923846
SB22234,8968,Tata Giveaways,29613,7238
SB22235,8969,"LK Big announcement,",1232935,666228.26
SB22236,9704,Havmor AOP meet 2025,2602500,2050717.5
SB22237,8970,Accenture Smart Mining & Chemical Model,180000,170000
SB22238,8971,SAP build day 2024,1344079,848182
SB22239,8972,Brookprpo IPC Brookfield,2818920.5,2111154
SB22240,8973,Google App Dev event,987250,740437.5
SB22241,8974,Siemens mobility Branding,416572.18,227879
SB22242,8975,Executive Breifing Forum,1187115,958250
SB22243,8976,PhonePe BMM,1674972.43,1377421
SB22244,9577,Star Health Press Meet 2024,226800,158829
SB22245,8977,Havas Stall at TIE Global Summit.,204000,124500
SB22246,8978,"Vast Data India Tour, Grand Hyatt Mumbai",1456766,978905
SB22247,8979,Cognizant AKSO Visit Booth,151074,118660
SB22248,9705,Executive Breifing Forum,149600,112200
SB22249,8980,Hero Nakshatra in Baku,11685140,11047704
SB22250,8981,Cognizant Leadership Summit Udaipur,1493407.3,1234897
SB22251,8982,Dell Gift delivery for PTC Door Openers India,1737450,1237500
SB22252,8983,HUL - Prabhat Turns 11 2024,1600000,1104370.81
SB22253,8984,OnePlus Media Drive in Sri Lanka,6127633,5032889.38
SB22254,8985,"HPE Ignite in Athens, Greece",46500000,37620500
SB22255,8986,cognizant AIA Event logistic,806058,740828
SB22256,8987,Cognizant Musical evening - Hyderabad,1432519,1375471.99
SB22257,8988,Adobe ABM activities,1685000,1263750
SB22258,8989,Amazon SX-FCGT Meeting,695602,461623
SB22259,8990,Cognizant FSI Strategy Meet ,310750,241800
SB22260,8991,Christmas Decor - Multiple Sites,99110,55000
SB22261,8992,Cognizant Namma Mangaluru Beats,835796,702221
SB22262,8993,DBS Bank - Future of Ops Festival ,400400,261750
SB22263,8994,Google YT Creator Collective Q1 & Q2 2025,19679990,14759992.5
SB22264,8995,Red Hat Summit Connect 2024,1300000,975000
SB22265,8996,Nordisk EDM,11000,8250
SB22266,8997,GitHub Tech after dark Marquis,1829275,1162600
SB22267,8998,OnePlus Dealer Meet ,9458093,7431040.27
SB22268,8999,Hitachi Idea Cafe CIO events - Feb 2025,3411474,2100000
SB22269,9000,Herbalife FIT FAMILIES FEST 2025,11299417,3640000
SB22270,9001,Brookfield Properties Powai Run At Powai,3731486,2798614.5
SB22271,9002,NXP Stall at VLSID Conference At Bangalore,468214,351160.5
SB22272,9003,BYD Auto Expo 2025 @ Pragti Maidan,38283592,28712694
SB22273,9004,Towards India & Saarc Partner Summit event Execution @ Mumbai,2100263,1575197.25
SB22274,9005,Cognizant Permanent Setup @ Hyderabad,163680,122760
SB22275,9578,Star Health - SS Launch @ Bangalore,15660,11745
SB22276,9006,ITC Conquest Giveaway @ Bangalore,81840,61380
SB22277,9007,Adobe Elite Circle At Gurgaon,3234784,2426088
SB22278,9579,Delta Elecrama 2025 at Noida,14527205,10895403.75
SB22279,9008,OnePlus event & SAP Giveaways at Delhi,380600,285450
SB22280,9009,Cognizant Cultural Event @ Multicity,1451280,1088460
SB22281,9010,Ki Mobility myTVS A@ Yashobhoomi,3420956,2565717
SB22282,9011,Amazone  IESP,354542,265906.5
SB22283,9012,TVS Supply Chain Solution - TS Rajam Award,10450,7837.5
SB22284,9355,TVS Srichakra for Shiprocket ,21500,16125
SB22285,9013,Regency Ceramics Booth at Naredco Exhibition,657481,493110.75
SB22286,9014,Siemens MO for T-shirt & Acrylic badge,25107,18830.25
SB22287,9015,Siemens_ Customer Visit - Inauguration At Airoli,47183,35387.25
SB22288,9016,OnePlus Jam Night @ IIT Madras,655930,491947.5
SB22289,9017,SAP ALM Summit 2025,781000,585750
SB22290,9018,Redington Data Profiling,570000,427500
SB22291,9019,Siemens Walkathon 2025,873856,655392
SB22292,9020,Amazone Photographer Arrangemen,9350,7012.5
SB22293,9580,Aisle Experience,239424,179568
SB22294,9021,Cognizant Metal Badges,17462,13096.5
SB22296,9023,Lakme Stall at Mithibai Fest,300000,225000
SB22297,9024,YouTube Execs Meet up at Soho House Mumbai,622248,466686
SB22298,9025,LogiMAT India 2025,300000,225000
SB22299,9026,Cognizant Invesco Client Visit Badge,29920,22440
SB22300,9027,Siemens Energy Townhall Event ,300782,225586.5
SB22301,9028,Redington NetApp Partner Roundtable,838980,629235
SB22302,9029,Siemens SEIL : GST Registration,230844,173133
SB22303,9030,Lenovo EBC Tour,6182956,4637217
SB22304,9031,Siemens IMTEX 2025 ,286691,215018.25
SB22305,9032,Dell CSG Launch on 9th April in Andaz New Delhi,1650000,1237500
SB22306,9033,Dell ISG Launch 13th to 19th March,2000000,1500000
SB22307,9034,Vmware Tanzu Giveaways,739200,554400
SB22308,9035,OnePlus Podium Delivery at 6 stores,2098426,1573819.5
SB22309,9581,Ncpa Concert Delhi,1926850,1445137.5
SB22310,9036,Cognizant Alkem Laboratories Client Visit,70719,53039.25
SB22311,9582,Perno store promotion installation,252845,189633.75
SB22312,9037,Exclusive Lotus Showroom Launch,738925,554193.75
SB22313,9038,Autodesk IMTEX 2025,2271500,1703625
SB22314,9039,Siemens EA Awards 2025,477104,357828
SB22315,9040,Adobe ALM Gifting in Feb 2025,507136,380352
SB22316,9041,Infosys event & Giveaways in Feb 2025,1250000,937500
SB22317,9042,VCF Experience Day,1550000,1162500
SB22318,9043,Dell WPC & AI events in Feb 2025,9900000,7425000
SB22319,9044,Dell WPC events in March 2025,6600000,4950000
SB22320,9045,Dell AI & Innovation Forum events,3300000,2475000
SB22321,9046,Q4 Webinar Registration,516000,387000
SB22322,9047,HPE Team Event – FY25 Planning,550000,412500
SB22323,9048,Tele Lead Gen Campaign - Dragonfly accounts ,820000,615000
SB22324,9049,Hul Board Meeting 2025,6684335,5013251.25
SB22325,9583,"Infosys legal service delivery sessions. Venue management, merchandise, branding activation",627473,470604.75
SB22326,9050,Red Hat Tech Talks Series,3391394,2543545.5
SB22327,9051,Siemens Healthineers DC,8557172,6417879
SB22328,9584,Next Leap CHRO event,2178877,1634157.75
SB22329,9585,Sleepwell's Founders Day,5156545,3867408.75
SB22330,9052,OnePlus Snapshot masterclass,1162561,871920.75
SB22331,9053,Intel F2F Leadership meet 2025,2063730,1547797.5
SB22332,9586,Singapore GIC 15th Anniversary Celebration,4644563,3483422.25
SB22333,9054,DBS Podcast with Taimur Event,98450,73837.5
SB22334,9055,HUL - Taj Tea Stall,189796,142347
SB22335,9056,Brookfields Waterstones,1995312,1496484
SB22336,9333,Madras Music Academy,713927,535445.25
SB22337,9057,Glaxo Farewell Video for Raj,60500,45375
SB22338,9058,SAP Invent 3.0,711172,533379
SB22339,9059,Accenture Legal Learning Lab,96668,72501
SB22340,9332,KORA food Street Display Activity,184989,138741.75
SB22341,9589,Modiway Launch event,8761500,6571125
SB22342,9060,Accenture Can Do Awards,1169339,877004.25
SB22343,9061,OnePlus Pop-up,13000000,9750000
SB22344,9062,GitHub Galaxy 2025 ,10000000,7500000
SB22345,9063,IHCL STAR Awards 2024,4169000,3126750
SB22346,9064,Platinum Sponsor for BTOPEX India,1320000,990000
SB22347,9590,Orica Kshitej ,4216259,3162194.25
SB22348,9065,Accenture Manufacturing Futurecast,918258,688693.5
SB22349,9591,Tata Advanced Systems - Memento Order,69575,52181.25
SB22350,9066,HUL - Novology Booth at Dermacon 2025,5700687,4275515.25
SB22351,9067,HUL - Growth Leaders Forum,650283,487712.25
SB22352,9068,DBS Piyush Gupta Farewell,599940,449955
SB22353,9069,HUL Kissan Meeting 2025,495000,371250
SB22354,9070,HUL PC Summit,3543710,2657782.5
SB22355,9071,Siemens Mobility Meet 2025,722787,542090.25
SB22356,9072,RNTBCi Innovfest 25,763077,572307.75
SB22357,9073,KNMA Legacy Series,826100,619575
SB22358,9074,HPE Wipro partner day,849970,637477.5
SB22359,9075,Amazon Brand Film Amplification Plan,695800,521850
SB22360,9076,Citi Bank giveaways ,49500,37125
SB22361,9077," IKEA - Feb & Mar Activity from 7th Feb to 30th March 2025,",3091000,2318250
SB22362,9078,Amazon SPS Fire Side Chat,68068,51051
SB22363,9592,BIAL V day installations,1809005,1356753.75
SB22364,9079,Microsoft townhall @ MS Office Gurgaon,721000,540750
SB22365,9080,Siemens CS Global Workshop,64258,48193.5
SB22366,9081,NatWest Ruchika Panesar Town Hall Meet,328969,246726.75
SB22367,9082,Hitachi Yes Bank Tech Workshop Nashik,1000000,750000
SB22368,9083,Hul R&D Mumbai ,2111798,1583848.5
SB22369,9084,Siemens Energy Office branding,427650,320737.5
SB22370,9085,Accenture  Navigating caregiving – Diverse journeys and expert perspective,434500,325875
SB22371,9086,Cognizant CMD Town Hall Meet 2025,124960,93720
SB22372,9087,Itc Learnify Booth,100787,75590.25
SB22373,9088,Audi RSQ8 Launch event,4189907,3142430.25
SB22374,9089,Intel Laptop storage space,1591200,1193400
SB22375,9090,Siemens locomotive model ,292462,219346.5
SB22376,9091,Ascension Health Client Visit,363214,272410.5
SB22377,9092,INGKA - Hej Day,1311552,983664
SB22378,9093,Ola Roadster Launch,850049,637536.75
SB22379,9094,TATA Ethics & Affirmative Action Summit 2025,2041248,1530936
SB22380,9593,Aisle Valentines Day,313174,234880.5
SB22381,9095,Amway Star Awards,1500000,1125000
SB22382,9096,TATA Legal Meet ,3526391,2644793.25
SB22383,9097,Hul Pukka event,1000000,750000
SB22384,10198,NTT Data - Transformation NOW,1805742,1354306.5
SB22385,9098,GitHub Wipro Connect ,346580,259935
SB22386,9099,HUL West Branch Connect 2025,2682808,2012106
SB22387,9100,Hul CD conference 2025 ,5671000,4253250
SB22388,9101,Siemens SSP Launch ,1342236,1006677
SB22389,9102,Cognizant Crescendo,8887714,6665785.5
SB22390,9594,Captain fresh IPO kick-off event,885811,664358.25
SB22391,9103,Siemens - SRE Event,25157,18867.75
SB22392,9104,Lightspeed - Lift Off 2025,7769834,5827375.5
SB22393,9105,Siemens GBS Townhall Event,452837,339627.75
SB22394,9106,Siemens Veronika Townhall  2025,322650,241987.5
SB22395,9107,Hul Cornetto Stall at Zomaland,5001282,3750961.5
SB22396,9108,Dell CSG Launch event,2100000,1575000
